"tree.uniqueID","X","Y"
"9pj1_1309",-119.014310819641,37.6892580159688
"9pj1_1308",-119.014312628492,37.6892702912821
"9pj1_1310",-119.014311358482,37.6892479716603
"9pj1_1312",-119.014305620191,37.6892713555759
"9pj1_1313",-119.0143014922,37.6892762828999
"9pj1_1314",-119.014322473051,37.6892943379408
"9pj1_1315",-119.014330438356,37.6893003232787
"9pj1_1316",-119.014328689929,37.6893043957866
"9pj1_1317",-119.014315731518,37.6892839839054
"9pj1_1318",-119.014279347579,37.689272433899
"9pj1_1319",-119.014258851198,37.6892628858569
"9pj1_1311",-119.014302721093,37.6892592556932
"9pj1_1320",-119.014284109223,37.6892902281051
"9pj1_1321",-119.014272955022,37.6892965778865
"9am1_1322",-119.014255008072,37.6892850119205
"9pj1_1323",-119.014257656733,37.68929450397
"9pj1_1324",-119.014224707331,37.6892562288896
"9pj1_1326",-119.014230507199,37.6893074157995
"9pj1_1327",-119.014220522784,37.6893045849722
"9pj1_1328",-119.014217754038,37.6893040316411
"9pj1_1329",-119.014217302755,37.6892948802471
"9pc1_1330",-119.014215007034,37.6892790716636
"9pc1_1331",-119.014197991609,37.6892659743912
"9pj1_1332",-119.014198278944,37.6893011417309
"9pj1_1333",-119.01421033269,37.6893040219342
"9pj1_1334",-119.014186421835,37.6893107134428
"9pj1_1335",-119.014193557031,37.6893059624088
"9pj1_1336",-119.014181973754,37.6893172796141
"9pc1_1337",-119.01417803505,37.6893254598208
"9pc1_1338",-119.014174824138,37.6892863582068
"9pc1_1339",-119.01415692772,37.689273719878
"9pc1_1340",-119.01411923491,37.6892826266102
"9pc1_1341",-119.014098736758,37.68927943633
"9pc1_1342",-119.014134270712,37.6892545954469
"9pc1_1343",-119.014106676365,37.6892565117529
"9pc1_1344",-119.014170412605,37.6892373554681
"9pc1_1345",-119.014083910074,37.6893135727684
"9pc1_1346",-119.014110844189,37.6893188561663
"9pc1_1347",-119.014105400034,37.6893283869167
"9pc1_1348",-119.014110420323,37.6893447445768
"9pj1_1349",-119.014196751046,37.6893493223105
"9pj1_1350",-119.014193304104,37.6893598897056
"9pj1_1351",-119.014205365215,37.6893547426642
"9pj1_1352",-119.014205929947,37.6893610760578
"9pc1_1353",-119.014215229699,37.6893265396551
"9pj1_1354",-119.014260534829,37.689331304319
"9pc1_1355",-119.014308582885,37.6893331616214
"9pj1_1356",-119.014289248019,37.6893532110455
"9pj1_1357",-119.014262135046,37.6893764762083
"9pj1_1358",-119.014223727733,37.6893898126929
"9pj1_1359",-119.014219087896,37.6894033279771
"9pj1_1360",-119.01425996893,37.6893894276994
"9pj1_1361",-119.01423545755,37.689403487619
"9pj1_1362",-119.01426083434,37.6894006225898
"9pj1_1363",-119.014247416385,37.6894169452849
"9pj1_1364",-119.014241720141,37.6894238662675
"9pj1_1365",-119.014210514621,37.6894389255412
"9am1_1366",-119.014251100984,37.6894612087939
"9pj3_1367",-119.01334918559,37.6891466352673
"9pj3_1368",-119.01334497566,37.6891662252309
"9pj3_1369",-119.013373179937,37.6891652183109
"9am3_1370",-119.013366307564,37.6891975897396
"9pj3_1371",-119.013392548133,37.6891922496922
"9pj3_1372",-119.013375089703,37.6892272958145
"9pj3_1373",-119.013368415851,37.6892359094877
"9pj3_1374",-119.01340394438,37.6891446308449
"9pj3_1375",-119.013407055234,37.6891493085355
"9am3_1376",-119.013434486788,37.689214977373
"9pj3_1377",-119.013436989729,37.6892232434322
"9am3_1378",-119.013444253957,37.6892275070293
"9am3_1379",-119.013422836308,37.6892539953643
"9pc3_1380",-119.013447097235,37.6892516483037
"9am3_1381",-119.013460007564,37.6892524088663
"9am3_1382",-119.013447018979,37.6892614066573
"9am3_1383",-119.013421225381,37.6892670067805
"9am3_1384",-119.013427631132,37.6892674487098
"9pc3_1385",-119.013426670558,37.6892753302778
"9am3_1386",-119.01342946869,37.6892842482654
"9pj3_1387",-119.013481602126,37.6892798010459
"9pj3_1388",-119.013419477983,37.6891782689865
"9pj3_1389",-119.013433735009,37.6891778570122
"9am3_1390",-119.013447761059,37.6891778716655
"9pc3_1391",-119.013428959218,37.6892044578916
"9pc3_1392",-119.013253409273,37.6891886746936
"9pj3_1393",-119.013112271402,37.6891451080203
"9pj3_1394",-119.013130776888,37.6891800825217
"9pj3_1395",-119.013092191168,37.6891684004589
"9pj3_1396",-119.01308311849,37.6891748367647
