"","Year","zeroRing","raw_growth","BAI","spline_growth","fss_growth","Site","Species","Neighborhood","ID","label","siteno","Region","hilo","tree.uniqueID","DBH","focalBA","hegyi","BA","Name","Longitude","Latitude","Date","Month","hydroyear","total_ppt_mm","mean_temp_C","spei1","spei6","spei12","spi12","cutoff","droughtyear","post1","post2","spei_post1","spei_post2","Year_post1","Year_post2","avg_growth","diff","reduction","drought_fx","post1_fx","post2_fx"
"1921",2014,"no",2.165,3142.62128956443,0.746459324666856,0.829313773188212,"ic","AM",3,5,"9AM3_5A",9,"Mammoth","low","9am3_5",55.8,0.2445452856,4.14291961143598,916.7398533216,"ic3",-119.0132542,37.68937984,"2014-09",9,2014,347,6.21666666666667,-0.420512188108072,-1.13516018779951,-1.65062767895542,-1.36899003488036,-1.33456713800163,"yes",0.400097206118298,0.804948199716443,-1.91627993524413,-0.24120694762896,2015,2016,0.911856855269866,0.165397530603009,"yes",0.181385411149933,0.561228054813616,0.117242805091137
"1922",2015,"no",1.07,1564.0406459526,0.400097206118298,0.469015706216069,"ic","AM",3,5,"9AM3_5A",9,"Mammoth","low","9am3_5",55.8,0.2445452856,4.14291961143598,916.7398533216,"ic3",-119.0133,37.6894,"2015-09",9,2015,342.366,7.19259259259259,-0.988218543963607,0.220523610003549,-1.91627993524413,-1.39334145144867,-1.33456713800163,"yes",0.804948199716443,NA,-0.24120694762896,NA,2016,2017,0.911856855269866,0.511759649151567,"yes",0.561228054813616,0.117242805091137,NA
"1923",1924,"no",1.29,330.775471553874,0.721889455868,0.83958891805275,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1924-09",9,1924,292,4.575,-0.315435681450596,-1.46686690472836,-1.5627459889525,-1.65716880561764,-1.33456713838902,"yes",0.811720211011142,0.805929372004398,1.18711237365911,-0.181709473272506,1925,1926,0.892153169999307,0.170263714131307,"yes",0.19084583214723,0.0901559975270028,0.0966468549284827
"1924",1934,"no",1.33,466.172706289752,0.783538260444796,0.862758656070793,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1934-09",9,1934,414,6.48333333333333,-0.178789280678756,-1.2374499193628,-1.4839805195065,-1.01583410941574,-1.33456713838902,"yes",0.856431300597394,0.994458806104175,0.126359632948989,1.52841911412216,1935,1936,0.892153169999307,0.108614909554511,"yes",0.121744688251901,0.040040063302068,-0.114672726102568
"1925",1959,"no",1.99,1241.16039580439,1.26025325256516,1.09224445683629,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1959-09",9,1959,338,5.25833333333333,1.85428707505171,-0.425392327680852,-1.48657427210883,-1.41627272657104,-1.33456713838902,"yes",1.19758312423074,1.1055437780096,-1.3076734450545,-1.21796995843049,1960,1961,0.892153169999307,-0.368100082565855,"no",-0.412597404732801,-0.342351475623488,-0.239186067130667
"1926",1968,"no",1.255,897.651813606064,0.87865609012054,0.915116651801922,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1968-09",9,1968,303,4.53333333333333,-0.763559239010036,-0.636501883161014,-1.44714501212832,-1.59967709464732,-1.33456713838902,"yes",0.812877732780059,0.954240963876229,0.802265942754069,-0.194569900661016,1969,1970,0.892153169999307,0.0134970798787675,"yes",0.0151286576483026,0.0888585501739677,-0.0695931998728086
"1927",1977,"no",0.98,771.874456102848,0.787128250093837,0.860342201917049,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1977-09",9,1977,209,4.38333333333333,-0.457821246819144,-0.0307248489667141,-1.84643069341605,-2.08977834319344,-1.33456713838902,"yes",0.787888932202792,1.17034432899824,0.626661495459198,-0.553039337963239,1978,1979,0.892153169999307,0.10502491990547,"yes",0.117720727154455,0.116868090931735,-0.311819952395783
"1928",1987,"no",1.105,944.599714785769,1.04657996343356,1.13702225955481,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1987-09",9,1987,319,4.51666666666667,-1.00558684734974,-0.968149824474213,-1.42327847214898,-1.51592832088806,-1.33456713838902,"yes",0.717232771083747,0.709423481436599,-0.962592245171432,-0.57877613523765,1988,1989,0.892153169999307,-0.154426793434248,"no",-0.173094484923893,0.196065434498984,0.204818740444368
"1929",1992,"no",0.79,695.241594994609,0.811353012011393,0.902225847803289,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1992-09",9,1992,383,5.46666666666667,-0.725339759876028,-1.21717279253656,-1.34129056172265,-1.17942258326794,-1.33456713838902,"yes",0.949728794491068,0.880285345680523,0.435758484126388,-1.49302639331784,1993,1994,0.892153169999307,0.080800157987914,"yes",0.0905675849226391,-0.0645355824850189,0.0133024515496516
"1930",1994,"no",0.83,739.413576414811,0.880285345680523,0.915166516651667,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"1994-09",9,1994,342,5.275,0.912816162192082,-0.819717320256956,-1.49302639331784,-1.39526421442495,-1.33456713838902,"yes",0.926966490048015,1.32565080426006,1.31877668727891,0.295221139858323,1995,1996,0.892153169999307,0.0118678243187839,"yes",0.0133024515496516,-0.0390216850865814,-0.485900458394478
