"","Region","Site","hilo","Species","Neighborhood","tree.uniqueID","hegyi","simple_comp","BA","DBH","no","yes","post1","post2","diff","drought_fx","post1_fx","post2_fx"
"45","Mammoth","sl","high","AC",3,"10ac3_1",26.7594061063306,294.353467169636,21.0453914748,11,1.01976372030371,0.876064037620367,0.734447414351738,0.734447414351738,0.143699682683346,0.140914684276617,0.279786680258639,0.299550400562351
"46","Mammoth","sl","high","AC",3,"10ac3_2",2.05100284646195,208.176788915888,19.7347190964,101.5,1.01719724244313,0.835820038092122,0.83644843599426,0.83644843599426,0.181377204351005,0.178310751133545,0.17769297723885,0.194890219681977
"47","Mammoth","sl","high","AC",3,"10ac3_3",1.3707866256462,123.370796308158,9.8621138616,90,0.975577265714065,0.925044313806362,0.88651331222224,0.88651331222224,0.0505329519077033,0.0517980007157262,0.0912935926470521,0.0668708583611171
"48","Mammoth","sl","high","AC",3,"10ac3_4",20.9443226954211,163.365717024284,11.0823364344,7.8,1.04964374723064,0.748163785208884,0.878702563045805,0.878702563045805,0.301479962021757,0.287221224169797,0.162856383068869,0.21250013029951
"49","Mammoth","sl","high","AC",3,"10ac3_5",3.73137215264852,104.105283058894,9.6842286156,27.9,1.01347514262905,0.930240137049511,0.950680521891837,0.950680521891837,0.0832350055795349,0.0821283148234063,0.0619597048767416,0.0754348475057877
"50","Mammoth","sl","high","PJ",1,"10pj1_1",3.57751545023556,152.044406635011,12.065853592254,42.5,1.02579719079316,0.774798942434903,0.857979695075438,0.857979695075438,0.250998248358261,0.244686036003067,0.163597148855484,0.189394339648649
"51","Mammoth","sl","high","PJ",1,"10pj1_2",1.29783707945945,157.946772570215,8.797214356854,121.7,1.01988504629717,0.779074513948675,0.757415071607942,0.757415071607942,0.240810532348494,0.236115367337515,0.257352508149972,0.277237554447142
"52","Mammoth","sl","high","PJ",1,"10pj1_3",5.77054819024354,135.607882470723,10.5106571262,23.5,1.03635229762725,0.706126453939558,0.829071982355069,0.829071982355069,0.330225843687687,0.318642458210154,0.2000095100351,0.236361807662346
"53","Mammoth","sl","high","PJ",2,"10pj2_1",16.4324686763836,381.233273292099,18.0432211806,23.2,0.991084499235486,0.811146874402766,0.977641792877981,0.977641792877981,0.179937624832719,0.181556290075692,0.0135636329373272,0.0046481321728129
"54","Mammoth","sl","high","PJ",2,"10pj2_2",2.50173018149633,269.686513565304,15.579689202,107.8,0.988038668126828,0.904659683075582,0.982592726776395,0.982592726776395,0.0833789850512455,0.0843883825005751,0.00551187066469506,-0.00644946120847723
"55","Mammoth","sl","high","PJ",2,"10pj2_3",1.72038483146289,239.649607022781,11.3006148024,139.3,1.00398342272934,0.857008053400162,0.784348911387156,0.784348911387156,0.146975369329178,0.146392227203935,0.218763085495082,0.222746508224422
"56","Mammoth","sl","high","PJ",2,"10pj2_4",10.6733551557406,169.706346976276,8.9211418296,15.9,1.03234993134776,0.651150527215989,0.761641393569984,0.761641393569984,0.381199404131767,0.369254060620804,0.262225558948172,0.294575490295928
"57","Mammoth","sl","high","PJ",2,"10pj2_5",4.54919431472731,160.131639878401,8.3432743548,35.2,1.03125883164917,1.15026497287547,1.09183771907486,1.09183771907486,-0.1190061412263,-0.115398906243535,-0.0587426604907869,-0.0274838288416164
"58","Mammoth","sl","high","PJ",3,"10pj3_1",2.53610879353163,267.559477717587,16.883637771,105.5,1.00890920740674,0.719549068224326,0.804799644507943,0.804799644507943,0.289360139182413,0.286804934535361,0.202307166393526,0.211216373800265
"59","Mammoth","sl","high","PJ",3,"10pj3_2",2.04560266493528,238.721830997947,18.3310215858,116.7,1.0043029507495,0.726469042385863,0.753527463836339,0.753527463836339,0.277833908363634,0.276643524900819,0.249701035654638,0.254003986404136
"60","Mammoth","sl","high","PJ",3,"10pj3_3",6.78565444346434,208.319591414355,16.4341792692,30.7,1.02725789818141,0.772923627956279,0.865791740478754,0.865791740478754,0.254334270225127,0.247585606959445,0.157181714531961,0.184439612713368
"61","Mammoth","sl","high","PJ",3,"10pj3_4",0.443930092530472,62.949287120821,2.9820349944,141.8,1.02375666769344,0.809839469301169,0.767079780635145,0.767079780635145,0.213917198392266,0.208953167430137,0.250720601055125,0.27447726874856
"62","San Jac","bm","high","AC",1,"11ac1_1",1.59037218040108,30.853220299781,1.8283648614,19.4,1.01811522075957,0.902286297449228,0.982594449003928,0.982594449003928,0.115828923310339,0.113767991037326,0.0348887542700114,0.0530039750295781
"63","San Jac","bm","high","AC",1,"11ac1_2",1.26063416682481,57.2327911738465,1.8045798078,45.4,1.02074047016121,0.833355461675457,1.03345784104165,1.03345784104165,0.187385008485758,0.183577524320322,-0.01245896606649,0.00828150409472417
"64","San Jac","bm","high","AC",1,"11ac1_3",0.443777249871466,13.0914288712082,1.1463831918,29.5,1.00921540629098,0.904071113192575,1.00161141039899,1.00161141039899,0.1051442930984,0.104184193426874,0.0075345618433788,0.0167499681343538
"65","San Jac","bm","high","AC",1,"11ac1_4",4.85559395831027,147.610056332632,2.5511747646,30.4,1.01336086594962,0.891052723544302,1.04278643686136,1.04278643686136,0.122308142405323,0.120695545402483,-0.0290376033854063,-0.015676737435782
"66","San Jac","bm","high","AC",2,"11ac2_1",0.649809686942996,48.6707455520304,2.361470034,74.9,0.999703043843152,0.828238453987914,0.915842431141747,0.915842431141747,0.171464589855238,0.171515522445623,0.0838855230239371,0.0835885668670888
"67","San Jac","bm","high","AC",2,"11ac2_10",10.6127508627825,85.9632819885386,2.3792491338,8.1,1.05699079988659,0.862293309839799,1.11703177038544,1.11703177038544,0.194697490046786,0.184199796315803,-0.0568036831591161,0.000187116727468961
"68","San Jac","bm","high","AC",2,"11ac2_11",5.61077341833843,65.0849716527258,1.828493667,11.6,1.03655146726836,0.843389021439366,1.0997328999302,1.0997328999302,0.193162445828994,0.186351041823363,-0.0609534930555239,-0.0244020257871633
"69","San Jac","bm","high","AC",2,"11ac2_3",2.45386438735576,43.6787860949325,1.8647037486,17.8,1.01501790422418,0.774040707106035,0.886110421195071,0.886110421195071,0.240977197118142,0.237411769896149,0.127000206097482,0.142018110321659
"70","San Jac","bm","high","AC",3,"11ac3_1",7.74112576617428,133.147363178198,9.0077848014,17.2,1.05604915870725,0.791925167374528,1.07036588051432,1.07036588051432,0.264123991332719,0.250105773159314,-0.0135568706144322,0.0424922880928145
"71","San Jac","bm","high","AC",3,"11ac3_2",6.84795551749793,135.589519246459,8.6194288488,19.8,1.03171549109084,0.835856401747016,1.03522479180214,1.03522479180214,0.195859089343819,0.18983827521746,-0.00340142291320826,0.028314068177627
"72","San Jac","bm","high","AC",3,"11ac3_4",1.37772002749022,65.3039293030364,4.2905867928,47.4,1.0272598785864,0.821329223418523,1.06632893338913,1.06632893338913,0.205930655167876,0.200465976974838,-0.0380322989509648,-0.0107724203645663
"73","San Jac","bm","high","PJ",1,"11pj1_1",0.649163158956901,39.8586179599537,1.9916518776,61.4,0.991257648264873,0.961047692670779,1.05417983333809,1.05417983333809,0.030209955594094,0.0304763909231615,-0.0634771244220514,-0.0722194761571781
"74","San Jac","bm","high","PJ",1,"11pj1_2",4.64815607799221,121.316873635597,2.4023171172,26.1,1.01474761996736,0.874248529481687,1.11161685640629,1.11161685640629,0.140499090485676,0.138457176662503,-0.0954614078740509,-0.0807137879066882
"75","San Jac","bm","high","PJ",1,"11pj1_3",4.65285375273123,123.765909822651,2.4002475882,26.6,1.01442649993049,0.868541843973058,1.01929601503485,1.01929601503485,0.145884655957433,0.1438099812726,-0.00480026409472715,0.00962623583576416
"76","San Jac","bm","high","PJ",1,"11pj1_4",1.5026015111091,89.8555703643241,2.2338221136,59.8,0.9376909606933,0.966899806775753,1.04014784154946,1.04014784154946,-0.0292088460824528,-0.0311497575500319,-0.109265083221457,-0.171574122528157
"77","San Jac","bm","high","PJ",2,"11pj2_1",1.04125139693896,56.3317005743976,3.3809482938,54.1,0.990408381722477,0.843885679765475,1.13909121601237,1.13909121601237,0.146522701957001,0.14794170229272,-0.150122754445303,-0.159714372722826
"78","San Jac","bm","high","PJ",2,"11pj2_15",1.55851689324013,43.4826213213996,2.2600089204,27.9,1.03418586031971,0.885023523863041,1.05122228067748,1.05122228067748,0.14916233645667,0.144231653303167,-0.0164732675348138,0.0177125927848973
"79","San Jac","bm","high","PJ",2,"11pj2_16",2.63221710577576,51.3282335626274,3.4369669488,19.5,1.03263126081246,0.898824045490751,1.01286999908544,1.01286999908544,0.133807215321705,0.12957889267891,0.0191368036945447,0.0517680645070011
"80","San Jac","bm","high","PJ",2,"11pj2_2",2.31896967397162,92.2949930240706,2.9691426534,39.8,0.938888231792797,0.814617879592225,1.11389129783083,1.11389129783083,0.124270352200572,0.132359047640078,-0.186393928597726,-0.247505696804929
"81","San Jac","bm","high","PJ",3,"11pj3_1",4.25635467038994,123.434285441308,4.8282959802,29,1.08963313900452,0.947837710189223,1.15132708048652,1.15132708048652,0.141795428815294,0.13013134764315,-0.0566190025556365,0.0330141364488807
"82","San Jac","bm","high","PJ",3,"11pj3_2",1.42662683849022,109.992929247596,7.579121781,77.1,1.09352916174842,0.844520307100202,1.1120546263395,1.1120546263395,0.249008854648215,0.227711215538213,-0.0169409881684907,0.0765881735799261
"83","San Jac","bm","high","PJ",3,"11pj3_3",8.97625488176715,98.7388036994387,5.5521591048,11,1.01322831547763,0.858703111851165,1.17897213590895,1.17897213590895,0.15452520362647,0.152507782565894,-0.163579933465624,-0.150351617987989
"84","San Jac","bm","high","PJ",3,"11pj3_4",1.21605391754946,100.932475156605,5.2543362102,83,1.02613627941269,1.18800016451888,1.08938536109217,1.08938536109217,-0.16186388510619,-0.157741119141438,-0.0616380913027196,-0.0355018118900248
"85","San Jac","bm","high","PJ",3,"11pj3_5",5.66750472049122,135.45336281974,6.2246452884,23.9,1.01255386407836,0.88738994148434,1.06194656472916,1.06194656472916,0.125163922594024,0.123612112929863,-0.048780319154436,-0.0362264550760727
"86","San Jac","bm","high","PL",1,"11pl1_1",1.22681202823371,56.6787157043972,2.4796735194,46.2,0.988535024059185,0.957350142291594,1.06619826741648,1.06619826741648,0.0311848817675914,0.0315465623459026,-0.0785639774687904,-0.0900289534096054
"87","San Jac","bm","high","PL",1,"11pl1_2",0.466944495881119,45.7605605963497,1.3560378678,98,0.973177465334313,0.841284807246232,1.00953977841323,1.00953977841323,0.13189265808808,0.135527858778329,-0.0373645243279745,-0.0641870589936618
"88","San Jac","bm","high","PL",1,"11pl1_24",2.88855904086101,68.4588492684058,2.1694271676,23.7,0.997123002959209,1.04020320027404,1.08319298391629,1.08319298391629,-0.0430801973148355,-0.0432044965234824,-0.0863183185039857,-0.089195315544777
"89","San Jac","bm","high","PL",1,"11pl1_4",2.63930679652026,95.0150446747292,2.9554075782,36,1.01031776649767,0.879645703748035,1.06424642285745,1.06424642285745,0.13067206274963,0.129337587720162,-0.0533779154916119,-0.0430601489939466
"90","San Jac","bm","high","PL",2,"11pl2_1",0.784702612859565,66.9351328769209,2.772685839,85.3,1.03773061048166,0.853147202989764,1.03851835343103,1.03851835343103,0.184583407491896,0.177872181496335,-0.000759101583221571,0.0369715088984384
"91","San Jac","bm","high","PL",2,"11pl2_2",1.76398371968422,66.854982976032,2.9023027572,37.9,0.985001959461642,0.907923189853229,1.12309004110802,1.12309004110802,0.0770787696084132,0.0782524023104899,-0.140190666952434,-0.155188707490792
