"tree.uniqueID","Year","event","spei_post","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","BA","DBH","reduction","spei12","post1","post2","spei_post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","Region1","recovery"
"4pj2_2",2014,"post1",-1.91006153833108,2015,0.989597732023195,0.98804891538503,0.946793338347944,1.03590880799268,"cm","PJ",2,"SEKI","low",1.19275853336507,84.7810522944,94,"no",-1.79048250897163,1.71462707066773,NA,NA,-0.232570458102255,0.725029338644538,0.726578155282703,0.67871826267505,0.767833732319789,"lat3",0.725029338644538
"4pj2_2",2015,"post1",NA,2016,NA,NA,NA,NA,"cm","PJ",2,"SEKI","low",1.19275853336507,84.7810522944,94,"no",-1.91006153833108,NA,NA,NA,-0.48366747135087,NA,NA,NA,NA,"lat3",NA
"4pj2_3064",1898,"post1",-0.218185117781116,1899,0.993774432170515,0.993799929899217,0.977652837164742,1.01030642890708,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"no",-1.45781739312729,0.911486630063317,1.10327214041952,0.174430668956381,-0.00363513318063598,-0.0822878021071985,-0.0823132998359,-0.0988197988437607,-0.0661662071014255,"lat3",-0.0822878021071985
"4pj2_3064",1924,"post1",0.674821586735023,1925,0.99577123702639,0.995931555192408,0.97514249005362,1.01429316590725,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"yes",-1.82677252739758,0.905276431021519,1.2819696870085,-0.857451698464406,0.0666655597642809,-0.090494806004871,-0.0906551241708893,-0.109016734885732,-0.0698660590321012,"lat3",-0.090494806004871
"4pj2_3064",1931,"post1",0.835961308218123,1932,0.996549430556928,0.99686246095031,0.972496220870436,1.01961337827129,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"no",-1.63501816619318,0.923041450809871,1.19358999333742,-0.693807103183418,-0.0291563193207052,-0.073507979747057,-0.073821010140439,-0.0965719274614143,-0.0494547700605649,"lat3",-0.073507979747057
"4pj2_3064",1934,"post1",0.268391123869311,1935,0.994842881381114,0.994816171866589,0.978185069051839,1.01121479100685,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"no",-1.832839309638,1.05133655871827,1.94425366810902,0.562507175860472,-0.241505541429504,0.0564936773371523,0.0565203868516768,0.0401217677114175,0.0731514896664277,"lat3",0.0564936773371523
"4pj2_3064",1959,"post1",-1.07474767403068,1960,0.992096107259585,0.991547238174944,0.965406938010365,1.02145931503889,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"yes",-1.4355251996377,0.45897172784539,0.410138008494817,-1.41959073765335,0.39203397820978,-0.533124379414195,-0.532575510329554,-0.562487587193504,-0.506435210164975,"lat3",-0.533124379414195
"4pj2_3064",1961,"post1",0.301976843398394,1962,0.995024371635635,0.994739773284988,0.978209304074577,1.01288103161479,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"yes",-1.41959073765335,0.89602906053216,0.95402850099662,0.553163239105331,0.596658066483967,-0.0989953111034751,-0.0987107127528277,-0.116851971082633,-0.0821802435424167,"lat3",-0.0989953111034751
"4pj2_3064",1977,"post1",1.81151415627017,1978,0.998955330231346,0.99833368649472,0.958593654621676,1.04287846002865,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"yes",-1.95248479000267,0.874036140165951,0.722812548217169,-0.205878043411947,0.138825810493812,-0.124919190065395,-0.124297546328769,-0.168842319862695,-0.0845575144557252,"lat3",-0.124919190065395
"4pj2_3064",1990,"post1",-0.24016193696075,1991,0.994007117728918,0.993982418782626,0.976289598016402,1.01096290346602,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"yes",-1.35888273792828,0.943464098754579,0.920400572800981,-1.34509294398186,0.180470024251638,-0.0505430189743389,-0.0505183200280461,-0.0674988047114454,-0.0328254992618228,"lat3",-0.0505430189743389
"4pj2_3064",1992,"post1",0.826869762516353,1993,0.99692029235212,0.996906942140434,0.973824893528504,1.02096897100609,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"yes",-1.34509294398186,0.917547176106404,0.726096628607381,-1.0035128828658,0.0948506625727575,-0.0793731162457157,-0.0793597660340295,-0.103421794899687,-0.0562777174220998,"lat3",-0.0793731162457157
"4pj2_3064",2007,"post1",-0.401628640249529,2008,0.993175692591465,0.993409933522984,0.974143067353752,1.01090013502443,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"no",-1.35707497534601,0.839961163196398,0.983758419082691,-0.531180850040578,-0.0635241899208962,-0.153214529395067,-0.153448770326586,-0.170938971828032,-0.134181904157354,"lat3",-0.153214529395067
"4pj2_3064",2014,"post1",-1.91006153833108,2015,0.990232169287746,0.989730285715423,0.946736903235586,1.0372522393458,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"no",-1.79048250897163,1.80991571841749,1.1910913208186,-0.465890895458172,-0.351757892085796,0.819683549129739,0.820185432702062,0.772663479071687,0.8631788151819,"lat3",0.819683549129739
"4pj2_3064",2015,"post1",-0.465890895458172,2016,0.993479539076917,0.993640373499797,0.974441609567888,1.01216278531505,"cm","PJ",2,"SEKI","low",2.06373486217621,90.202852278,33.1,"no",-1.91006153833108,1.1910913208186,0.960742410710856,1.32144670470505,-0.779925025838698,0.197611781741679,0.197450947318799,0.178928535503549,0.216649711250708,"lat3",0.197611781741679
"4pj2_3101",1898,"post1",-0.218185117781116,1899,0.993722902331489,0.993558324212981,0.977381611365008,1.01149523171126,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"no",-1.45781739312729,1.39225041769309,1.26985919357665,0.174430668956381,-0.168819349689221,0.398527515361604,0.398692093480112,0.380755185981837,0.414868806328085,"lat3",0.398527515361604
"4pj2_3101",1924,"post1",0.674821586735023,1925,0.995748408988419,0.996019900203128,0.974070027839148,1.01804182939428,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"yes",-1.82677252739758,0.860904231263495,0.896013798673182,-0.857451698464406,0.0447132780048017,-0.134844177724923,-0.135115668939633,-0.157137598130787,-0.113165796575653,"lat3",-0.134844177724923
